"target","n","k","RMSPE","CRPS","coverage_95","mean_interval_width","mean_error","MAE","bias","cor","slope","model","diagnostics_passed","rep_id","eff_range","prior_scale"
"observed",49,5,29.0564757946331,16.5818703606883,0.938775510204082,116.329282091895,-0.0322872667979938,22.9228105105669,-0.0322872667979938,0.975302449622598,1.00075734937632,"nonspatial",TRUE,5,150,500
"latent",49,5,26.6928520289489,16.5857076635884,0.775510204081633,63.57544288287,0.551533312048631,22.0258626025097,0.551533312048631,0.974638079264176,0.954824603518914,"spatial",TRUE,6,150,500
"observed",49,5,31.5204115289278,18.0331035117692,0.938775510204082,120.423004833696,-0.215407891252476,25.1739194666061,-0.215407891252476,0.966093556632788,0.988705034851573,"spatial",TRUE,6,150,500
"latent",49,5,26.6510170895899,19.005935212693,0.224489795918367,25.8602593600671,0.565723028235082,21.9968054959709,0.565723028235082,0.974724585581727,0.954789066627473,"nonspatial",TRUE,6,150,500
"observed",49,5,31.5968525626132,18.18347757091,0.938775510204082,120.23501761646,-0.316054202932157,25.3931347136998,-0.316054202932157,0.965926190726412,0.988823771101251,"nonspatial",TRUE,6,150,500
"latent",49,5,22.2909934270681,13.2110752279045,0.857142857142857,68.5301982737476,1.3307059370101,17.997030204223,1.3307059370101,0.982488253298429,0.985164001077584,"spatial",TRUE,7,150,500
"observed",49,5,30.5947564771454,17.1427990381998,0.918367346938776,122.866803077669,-0.0470276509464682,23.2787875109635,-0.0470276509464682,0.967903628131056,0.992148962627625,"spatial",TRUE,7,150,500
"latent",49,5,22.3826783084849,15.2131886248428,0.408163265306122,26.5362156687841,1.23814485855387,18.0538687548856,1.23814485855387,0.982321947680902,0.985879919300484,"nonspatial",TRUE,7,150,500
"observed",49,5,30.7645991552744,17.2498150604154,0.918367346938776,121.446315573777,-0.200857627111842,23.3364025737927,-0.200857627111842,0.967542165051799,0.992033270623286,"nonspatial",TRUE,7,150,500
"latent",49,5,21.2020687209722,12.9681820412117,0.877551020408163,58.7527894075418,-1.17956995705392,17.7241225750899,-1.17956995705392,0.984415035298944,0.989050784483713,"spatial",TRUE,8,150,500
"observed",49,5,26.3309465251365,14.9819116612693,0.938775510204082,105.735599506218,0.108419273752261,21.5502769887269,0.108419273752261,0.976936894487031,1.00701579651499,"spatial",TRUE,8,150,500
"latent",49,5,21.1937674580536,15.088980024233,0.285714285714286,22.5595148208317,-1.25998441886509,17.7139469014484,-1.25998441886509,0.984426024654103,0.989823815559239,"nonspatial",TRUE,8,150,500
"observed",49,5,26.5408015584512,15.0764628799889,0.938775510204082,105.393107775044,-0.0820790001844144,21.7679347304109,-0.0820790001844144,0.976562591779059,1.00698364891681,"nonspatial",TRUE,8,150,500
"latent",49,5,26.0558196315165,16.2311489129547,0.816326530612245,66.0632076065547,0.474844517952798,22.0285048855394,0.474844517952798,0.977276726981344,0.980441648935447,"spatial",TRUE,9,150,500
"observed",49,5,30.5512237641397,17.7040839677985,0.979591836734694,114.390319050588,-0.188711823392821,25.6551325668243,-0.188711823392821,0.96892293371482,0.975444461536969,"spatial",TRUE,9,150,500
"latent",49,5,26.2201450631389,18.9847953298024,0.306122448979592,25.0000660452451,0.476022775352083,22.2287279933548,0.476022775352083,0.97701693746058,0.978846719862485,"nonspatial",TRUE,9,150,500
"observed",49,5,30.6028377187467,17.7422202822359,0.959183673469388,114.029087636469,-0.286797414588378,25.5939493660104,-0.286797414588378,0.968828167399386,0.974999091331875,"nonspatial",TRUE,9,150,500
"latent",49,5,26.7355842768537,16.5057091832266,0.714285714285714,65.0825297903558,-0.397510730244081,22.2852435162423,-0.397510730244081,0.973837373532067,1.00442083177542,"spatial",TRUE,10,150,500
"observed",49,5,29.3154034213429,16.6448335559407,0.918367346938776,109.489842625742,0.544153849018201,23.3803251091812,0.544153849018201,0.96908327106829,1.00866891022154,"spatial",TRUE,10,150,500
"latent",49,5,25.6616115645071,18.3322328211108,0.326530612244898,23.7884748099199,-0.656841560116118,21.2570930021852,-0.656841560116118,0.975976974131069,1.01048621586096,"nonspatial",TRUE,10,150,500
"observed",49,5,28.4265712472903,16.1606728094973,0.938775510204082,110.535387244627,0.347470372896496,22.9247080524915,0.347470372896496,0.971019676450564,1.0146902349183,"nonspatial",TRUE,10,150,500
"latent",49,5,23.4172999243433,13.7516448040931,0.836734693877551,59.6470404720827,-1.0509644423817,18.6907270883091,-1.0509644423817,0.979780525365526,1.03141966253221,"spatial",TRUE,1,350,500
"observed",49,5,28.8629027567588,16.0748795138378,0.918367346938776,101.866825870444,0.272876725164293,21.6892741339888,0.272876725164293,0.968937077752198,1.02499924767495,"spatial",TRUE,1,350,500
"latent",49,5,23.7680847320506,16.2938106957461,0.26530612244898,21.8302580276095,-1.2853497594263,19.0367521080793,-1.2853497594263,0.979165234530834,1.03128272288467,"nonspatial",TRUE,1,350,500
"observed",49,5,29.0650430062858,16.1809756200375,0.918367346938776,101.563467122147,0.172854745392348,21.9438251108214,0.172854745392348,0.968496715309855,1.02541491859068,"nonspatial",TRUE,1,350,500
