"fold","variable","rhat","ess_bulk","ess_tail","passed","model","iterations","burn_in","thin","prediction_draws","rep_id","eff_range","prior_scale"
5,"lp",1.00128636770431,3087.61289315488,2901.973995891,TRUE,"nonspatial",10000,5001,10,2000,3,0,500
1,"tau_B_sq",1.00307992079219,1647.473670061,2105.32003648331,TRUE,"spatial",10000,5001,10,2000,4,0,500
1,"sigma_sq",1.00121523933646,1814.66107924312,2432.40667369068,TRUE,"spatial",10000,5001,10,2000,4,0,500
1,"eff_range",1.00192142235141,1484.34749157375,1743.08226233558,TRUE,"spatial",10000,5001,10,2000,4,0,500
1,"lp",1.00273855316932,1294.41458502448,1817.82154102021,TRUE,"spatial",10000,5001,10,2000,4,0,500
2,"tau_B_sq",1.00285158469405,1710.73484040472,2337.19345254482,TRUE,"spatial",10000,5001,10,2000,4,0,500
2,"sigma_sq",1.00474580799505,1642.13068410729,2127.7476995659,TRUE,"spatial",10000,5001,10,2000,4,0,500
2,"eff_range",1.00292783116708,1588.50485813155,1690.38085057007,TRUE,"spatial",10000,5001,10,2000,4,0,500
2,"lp",1.00171545234722,1344.0417320496,1696.75080281699,TRUE,"spatial",10000,5001,10,2000,4,0,500
3,"tau_B_sq",1.00217818539807,1778.29067665342,2116.78197957288,TRUE,"spatial",10000,5001,10,2000,4,0,500
3,"sigma_sq",1.00157564694428,1685.82359908733,2251.7003473116,TRUE,"spatial",10000,5001,10,2000,4,0,500
3,"eff_range",1.00244537765232,1537.74833467127,1989.8149230124,TRUE,"spatial",10000,5001,10,2000,4,0,500
3,"lp",1.00350678737215,1396.86487606313,1673.9094959947,TRUE,"spatial",10000,5001,10,2000,4,0,500
4,"tau_B_sq",1.00084240754912,1636.12813956162,1885.99635996398,TRUE,"spatial",10000,5001,10,2000,4,0,500
4,"sigma_sq",1.00227990051667,1773.91286249434,2121.33323854058,TRUE,"spatial",10000,5001,10,2000,4,0,500
4,"eff_range",1.00396523816764,1473.38485855572,1581.44082314816,TRUE,"spatial",10000,5001,10,2000,4,0,500
4,"lp",1.00227066709314,1327.99654074817,1606.66321236542,TRUE,"spatial",10000,5001,10,2000,4,0,500
5,"tau_B_sq",1.0014090310695,1685.57151120493,2287.07272423447,TRUE,"spatial",10000,5001,10,2000,4,0,500
5,"sigma_sq",1.0019701719417,1710.57069553247,2325.65637293904,TRUE,"spatial",10000,5001,10,2000,4,0,500
5,"eff_range",1.00547875164486,1324.66257672338,1915.30835300266,TRUE,"spatial",10000,5001,10,2000,4,0,500
