"model","attempt","iterations","max_rhat","min_ess_bulk","min_ess_tail","passed","elapsed_seconds","rep_id","eff_range","prior_scale"
"spatial",1,10000,1.0104957487988,447.089973540515,243.013961678285,FALSE,270.951,3,50,250
"spatial",2,20000,1.00679241768406,1129.77060577208,538.101652715374,TRUE,495.306,3,50,250
"nonspatial",1,10000,1.00211720038801,2831.77210079038,2694.05369334164,TRUE,6.24800000000005,3,50,250
"spatial",1,10000,1.00586901224594,759.805625294784,424.286868119557,TRUE,270.449,4,50,250
"nonspatial",1,10000,1.0036616244994,2845.76688838912,2834.68473956088,TRUE,6.37300000000005,4,50,250
"spatial",1,10000,1.00889869896393,658.981704212342,358.414800679423,FALSE,270.501,5,50,250
"spatial",2,20000,1.00315322542172,1398.16444101899,818.950546543412,TRUE,505.158,5,50,250
"nonspatial",1,10000,1.00320897871687,2739.24235231705,2673.42280460863,TRUE,6.53100000000018,5,50,250
"spatial",1,10000,1.00588130308586,718.949893639259,428.540018472002,TRUE,270.341,6,50,250
"nonspatial",1,10000,1.00324413705322,2512.82464707364,2597.43106388277,TRUE,6.07300000000009,6,50,250
"spatial",1,10000,1.00888784307042,610.703448069621,332.452121653163,FALSE,270.676,7,50,250
"spatial",2,20000,1.00440411569637,1316.54058735042,673.666368728164,TRUE,496.048,7,50,250
"nonspatial",1,10000,1.00257814747388,2760.93807274936,2505.26351013209,TRUE,6.18000000000006,7,50,250
"spatial",1,10000,1.00555942141487,982.422067628493,635.611396930188,TRUE,270.391,8,50,250
"nonspatial",1,10000,1.00184086417632,2940.30013143998,2398.17847517168,TRUE,6.30600000000004,8,50,250
"spatial",1,10000,1.01002451047427,716.117595322271,554.02991744764,FALSE,270.375,9,50,250
"spatial",2,20000,1.00386839294087,1636.90271795544,943.229826626568,TRUE,495.558,9,50,250
"nonspatial",1,10000,1.00415813723155,2676.63396843531,2589.99670276044,TRUE,6.24000000000001,9,50,250
"spatial",1,10000,1.00783398219996,971.942665516986,730.547415489394,TRUE,270.385,10,50,250
"nonspatial",1,10000,1.00320854716541,2819.76531101254,2567.14586566448,TRUE,6.08999999999992,10,50,250
"spatial",1,10000,1.01458134907896,739.836879524455,606.611889611764,FALSE,270.307,1,150,250
"spatial",2,20000,1.00595650759774,1236.1914651645,649.130086721055,TRUE,495.956,1,150,250
"nonspatial",1,10000,1.00385761152923,2913.96041491426,2415.80376826408,TRUE,6.18900000000008,1,150,250
"spatial",1,10000,1.01404180399583,547.627903604839,282.121009900911,FALSE,270.435,2,150,250
"spatial",2,20000,1.00236822286722,1167.76298370508,557.918644820219,TRUE,495.485,2,150,250
"nonspatial",1,10000,1.00301859576239,2824.48124432761,2493.90969501064,TRUE,6.21600000000012,2,150,250
"spatial",1,10000,1.01244157386748,368.421534585166,239.260079181569,FALSE,270.991,3,150,250
"spatial",2,20000,1.00869021219059,830.890998698432,385.166245936103,FALSE,495.211,3,150,250
"spatial",3,40000,1.00354913737016,1598.32124911387,869.532158285752,TRUE,930.077,3,150,250
"nonspatial",1,10000,1.0022252946806,2620.11541502843,2804.55241463015,TRUE,6.17599999999993,3,150,250
"spatial",1,10000,1.01229621089267,478.617536867678,238.920387845968,FALSE,271.042,4,150,250
"spatial",2,20000,1.00696329192413,798.66669199769,559.608347706876,TRUE,495.664,4,150,250
"nonspatial",1,10000,1.00262068885936,2696.27501201467,2577.81414549672,TRUE,6.21900000000005,4,150,250
"spatial",1,10000,1.01266855134105,385.378605019663,227.468795533158,FALSE,270.434,5,150,250
"spatial",2,20000,1.00974606235748,824.519283819867,385.917731333622,FALSE,495.922,5,150,250
"spatial",3,40000,1.00369698500487,2430.86960119291,1165.10167056991,TRUE,930.466,5,150,250
"nonspatial",1,10000,1.00140884271373,2581.08657715705,2531.63065808186,TRUE,6.14300000000003,5,150,250
"spatial",1,10000,1.01246750618324,421.50746269028,177.072294696622,FALSE,270.337,6,150,250
"spatial",2,20000,1.00955934234323,984.017963376555,474.859954246743,TRUE,495.841,6,150,250
"nonspatial",1,10000,1.00213705432019,2657.53656199851,2738.14936075308,TRUE,6.22199999999998,6,150,250
"spatial",1,10000,1.01360345583229,371.622424122616,141.074908184619,FALSE,269.951,7,150,250
"spatial",2,20000,1.00731005789831,918.855241360208,402.773351352442,TRUE,495.251,7,150,250
"nonspatial",1,10000,1.00177564974955,2949.5131508455,2786.72521950103,TRUE,6.20700000000011,7,150,250
"spatial",1,10000,1.01102809871472,595.196119057889,372.996318541466,FALSE,274.106,8,150,250
"spatial",2,20000,1.00478645097361,1060.70610523735,558.819486455625,TRUE,493.128,8,150,250
"nonspatial",1,10000,1.00246942184025,2528.9994711272,1867.27428070309,TRUE,6.46399999999994,8,150,250
"spatial",1,10000,1.017828924993,658.422004706386,437.723442374567,FALSE,274.211,9,150,250
"spatial",2,20000,1.00346788705403,1247.11582573856,660.542217298543,TRUE,493.488,9,150,250
"nonspatial",1,10000,1.00348981996787,2698.61058741487,2434.6296910779,TRUE,6.44200000000001,9,150,250
"spatial",1,10000,1.00988572415935,422.916548294485,291.268951556609,FALSE,274.4,10,150,250
"spatial",2,20000,1.00299369756868,1374.98957033009,627.098355310157,TRUE,493.557,10,150,250
"nonspatial",1,10000,1.00244560448843,2635.33758005252,2371.57942545233,TRUE,6.17200000000003,10,150,250
